schema,count_7cups,count_mindline,prop_7cups,prop_mindline,diff,z,p,p_adj,p_reject,topic
SOCIAL ISOLATION/ALIENATION (SI),223,173,0.3885017421602787,0.22496749024707413,0.1635342519132046,6.501944657233232,7.928827228399652e-11,1.4271889011119373e-09,True,All
UNRELENTING STANDARDS/HYPERCRITICALNESS (US),41,116,0.07142857142857142,0.1508452535760728,-0.07941668214750139,-4.481018025903215,7.428783602543364e-06,6.685905242289028e-05,True,All
FAILURE TO ACHIEVE (FA),104,216,0.18118466898954705,0.2808842652795839,-0.09969959629003683,-4.242654985196864,2.2089089155665704e-05,0.00013253453493399422,True,All
MISTRUST/ABUSE (MA),79,160,0.13763066202090593,0.20806241872561768,-0.07043175670471175,-3.3384290893481094,0.0008425353191186744,0.0037914089360340346,True,All
SUBJUGATION (SB),46,103,0.08013937282229965,0.13394018205461639,-0.05380080923231674,-3.1056365759782882,0.0018986991546331416,0.00683531695667931,True,All
DEFECTIVENESS/SHAME (DS),141,247,0.2456445993031359,0.3211963589076723,-0.07555175960453639,-3.021928310951194,0.002511700248174739,0.007535100744524217,True,All
ABANDONMENT/INSTABILITY (AB),74,69,0.1289198606271777,0.08972691807542263,0.03919294255175507,2.3035961902323088,0.021245321914767187,0.05463082778082991,False,All
EMOTIONAL DEPRIVATION (ED),199,223,0.34668989547038326,0.28998699609882966,0.056702899371553594,2.2145033824131017,0.026794170287344224,0.06028688314652451,False,All
EMOTIONAL INHIBITION (EI),72,70,0.1254355400696864,0.09102730819245773,0.034408231877228676,2.028634480205029,0.042495533887148475,0.08499106777429695,False,All
DEPENDENCE/INCOMPETENCE (DI),61,58,0.10627177700348432,0.0754226267880364,0.030849150215447915,1.968050046387533,0.04906227966695171,0.08831210340051307,False,All
NEGATIVITY/PESSIMISM (NP),135,216,0.23519163763066203,0.2808842652795839,-0.045692627648921846,-1.885358146716706,0.059381500623060496,0.09716972829228081,False,All
ENMESHMENT/UNDEVELOPED SELF (EM),42,39,0.07317073170731707,0.05071521456436931,0.02245551714294776,1.7100468020692943,0.08725721883684026,0.1308858282552604,False,All
APPROVAL-SEEKING/RECOGNITION-SEEKING (AS),37,65,0.06445993031358885,0.08452535760728218,-0.02006542729369333,-1.3731549862980723,0.1697041700499582,0.2349750046845575,False,All
ENTITLEMENT/GRANDIOSITY (ET),3,7,0.005226480836236934,0.009102730819245773,-0.0038762499830088393,-0.8174361221183715,0.41367923989093436,0.5318733084312013,False,All
PUNITIVENESS (PU),13,20,0.02264808362369338,0.02600780234070221,-0.0033597187170088284,-0.39342995527861235,0.6940019486778025,0.8328023384133629,False,All
SELF-SACRIFICE (SS),44,62,0.07665505226480836,0.08062418725617686,-0.0039691349913685,-0.2668794965059561,0.7895619436772361,0.8882571866368907,False,All
INSUFFICIENT SELF-CONTROL/SELF-DISCIPLINE (IS),70,94,0.12195121951219512,0.1222366710013004,-0.0002854514891052762,-0.01580558624099116,0.987389491818349,0.9913776315223821,False,All
VULNERABILITY TO HARM OR ILLNESS (VH),35,47,0.06097560975609756,0.0611183355006502,-0.0001427257445526381,-0.010806746652167807,0.9913776315223821,0.9913776315223821,False,All
SOCIAL ISOLATION/ALIENATION (SI),128,22,0.5541125541125541,0.30985915492957744,0.24425339918297667,3.600077322344298,0.00031812256610076566,0.004157850380707865,True,Family
MISTRUST/ABUSE (MA),37,25,0.16017316017316016,0.352112676056338,-0.19193951588317784,-3.5018824621961833,0.00046198337563420713,0.004157850380707865,True,Family
SUBJUGATION (SB),19,15,0.08225108225108226,0.2112676056338028,-0.12901652338272057,-3.007995034496866,0.00262977434770061,0.015778646086203663,True,Family
INSUFFICIENT SELF-CONTROL/SELF-DISCIPLINE (IS),8,7,0.03463203463203463,0.09859154929577464,-0.06395951466374,-2.169487826134384,0.030045667614224097,0.13520550426400843,False,Family
UNRELENTING STANDARDS/HYPERCRITICALNESS (US),7,6,0.030303030303030304,0.08450704225352113,-0.05420401195049082,-1.9681104649775054,0.049055329014452316,0.15173929350803217,False,Family
PUNITIVENESS (PU),2,3,0.008658008658008658,0.04225352112676056,-0.033595512468751906,-1.9402454747374696,0.05234986435574636,0.15173929350803217,False,Family
DEFECTIVENESS/SHAME (DS),44,21,0.19047619047619047,0.29577464788732394,-0.10529845741113347,-1.8881208732776797,0.059009725253123625,0.15173929350803217,False,Family
ENTITLEMENT/GRANDIOSITY (ET),0,1,0.0,0.014084507042253521,-0.014084507042253521,-1.8067457394577702,0.07080193246897405,0.1593043480551916,False,Family
ABANDONMENT/INSTABILITY (AB),50,9,0.21645021645021645,0.1267605633802817,0.08968965306993476,1.6670623271537235,0.09550201215038923,0.19100402430077845,False,Family
EMOTIONAL DEPRIVATION (ED),121,31,0.5238095238095238,0.43661971830985913,0.08718980549966471,1.285099992748964,0.19875734412562085,0.3577632194261175,False,Family
NEGATIVITY/PESSIMISM (NP),32,14,0.13852813852813853,0.19718309859154928,-0.058654960063410755,-1.2029414250640176,0.22899898837088783,0.3747256173341801,False,Family
FAILURE TO ACHIEVE (FA),13,2,0.05627705627705628,0.028169014084507043,0.028108042192549237,0.9534164803126324,0.3403790946010994,0.5105686419016491,False,Family
EMOTIONAL INHIBITION (EI),38,9,0.1645021645021645,0.1267605633802817,0.03774160112188282,0.7672553704914546,0.44292969765299395,0.5760635669442019,False,Family
APPROVAL-SEEKING/RECOGNITION-SEEKING (AS),14,6,0.06060606060606061,0.08450704225352113,-0.023900981647460517,-0.7082960538399727,0.4787614271592321,0.5760635669442019,False,Family
DEPENDENCE/INCOMPETENCE (DI),11,2,0.047619047619047616,0.028169014084507043,0.019450033534540574,0.7062173659480586,0.48005297245350165,0.5760635669442019,False,Family
ENMESHMENT/UNDEVELOPED SELF (EM),10,2,0.04329004329004329,0.028169014084507043,0.015121029205536245,0.5704667889478611,0.5683611412563944,0.6394062839134437,False,Family
VULNERABILITY TO HARM OR ILLNESS (VH),10,4,0.04329004329004329,0.056338028169014086,-0.013047984878970798,-0.4573217100875401,0.6474398274053549,0.6855245231350816,False,Family
SELF-SACRIFICE (SS),20,7,0.08658008658008658,0.09859154929577464,-0.012011462715688065,-0.31023179404218454,0.7563846942829472,0.7563846942829472,False,Family
MISTRUST/ABUSE (MA),4,13,0.038461538461538464,0.11607142857142858,-0.07760989010989011,-2.1165017220842164,0.03430215889766888,0.4217302531895652,False,Adulting
SUBJUGATION (SB),4,12,0.038461538461538464,0.10714285714285714,-0.06868131868131867,-1.9258222162991077,0.054126576447470556,0.4217302531895652,False,Adulting
PUNITIVENESS (PU),3,0,0.028846153846153848,0.0,0.028846153846153848,1.8100477957092447,0.0702883755315942,0.4217302531895652,False,Adulting
DEPENDENCE/INCOMPETENCE (DI),22,15,0.21153846153846154,0.13392857142857142,0.07760989010989011,1.5126632209429816,0.13036522639633846,0.4734994614070859,False,Adulting
INSUFFICIENT SELF-CONTROL/SELF-DISCIPLINE (IS),16,10,0.15384615384615385,0.08928571428571429,0.06456043956043957,1.4569866106243836,0.14512007623493667,0.4734994614070859,False,Adulting
SOCIAL ISOLATION/ALIENATION (SI),31,24,0.2980769230769231,0.21428571428571427,0.0837912087912088,1.412396814838743,0.15783315380236196,0.4734994614070859,False,Adulting
ENMESHMENT/UNDEVELOPED SELF (EM),14,9,0.1346153846153846,0.08035714285714286,0.054258241758241746,1.2917417614624727,0.1964465898839981,0.5051483739874236,False,Adulting
SELF-SACRIFICE (SS),5,10,0.04807692307692308,0.08928571428571429,-0.04120879120879121,-1.1904160500909977,0.23388290778190268,0.5115338701276313,False,Adulting
EMOTIONAL DEPRIVATION (ED),12,19,0.11538461538461539,0.16964285714285715,-0.05425824175824176,-1.1364532154386073,0.25576693506381565,0.5115338701276313,False,Adulting
ENTITLEMENT/GRANDIOSITY (ET),1,0,0.009615384615384616,0.0,0.009615384615384616,1.040159613456947,0.29826575136083455,0.5368783524495022,False,Adulting
VULNERABILITY TO HARM OR ILLNESS (VH),5,3,0.04807692307692308,0.026785714285714284,0.021291208791208795,0.8278968199889164,0.4077289360331291,0.6173212994205795,False,Adulting
EMOTIONAL INHIBITION (EI),7,11,0.0673076923076923,0.09821428571428571,-0.030906593406593408,-0.8211733521770385,0.41154753294705293,0.6173212994205795,False,Adulting
DEFECTIVENESS/SHAME (DS),31,29,0.2980769230769231,0.25892857142857145,0.03914835164835162,0.6418419710546117,0.5209757950717588,0.7213511008685892,False,Adulting
FAILURE TO ACHIEVE (FA),39,45,0.375,0.4017857142857143,-0.0267857142857143,-0.40348665929625954,0.6865902469220195,0.8827588888997394,False,Adulting
UNRELENTING STANDARDS/HYPERCRITICALNESS (US),16,19,0.15384615384615385,0.16964285714285715,-0.015796703296703296,-0.3148079621148735,0.7529074660018025,0.9034889592021629,False,Adulting
ABANDONMENT/INSTABILITY (AB),6,6,0.057692307692307696,0.05357142857142857,0.004120879120879127,0.13211031413252328,0.8948970379228445,0.9831974045109152,False,Adulting
APPROVAL-SEEKING/RECOGNITION-SEEKING (AS),9,10,0.08653846153846154,0.08928571428571429,-0.0027472527472527514,-0.07122644346542874,0.943217536017365,0.9831974045109152,False,Adulting
NEGATIVITY/PESSIMISM (NP),37,40,0.3557692307692308,0.35714285714285715,-0.0013736263736263687,-0.02106048724237785,0.9831974045109152,0.9831974045109152,False,Adulting
PUNITIVENESS (PU),5,7,0.09259259259259259,0.025362318840579712,0.06723027375201288,2.4136210649972534,0.01579487961282865,0.2843078330309157,False,Rants
SUBJUGATION (SB),3,46,0.05555555555555555,0.16666666666666666,-0.1111111111111111,-2.0999776930431806,0.03573080345194738,0.32157723106752645,False,Rants
APPROVAL-SEEKING/RECOGNITION-SEEKING (AS),1,18,0.018518518518518517,0.06521739130434782,-0.04669887278582931,-1.3472797852240108,0.17789014008843362,0.5381766995789968,False,Rants
VULNERABILITY TO HARM OR ILLNESS (VH),1,17,0.018518518518518517,0.06159420289855073,-0.04307568438003221,-1.2747558905996565,0.202395657594024,0.5381766995789968,False,Rants
UNRELENTING STANDARDS/HYPERCRITICALNESS (US),2,24,0.037037037037037035,0.08695652173913043,-0.0499194847020934,-1.2452456083067849,0.21304148239366139,0.5381766995789968,False,Rants
INSUFFICIENT SELF-CONTROL/SELF-DISCIPLINE (IS),9,30,0.16666666666666666,0.10869565217391304,0.05797101449275362,1.206814427308154,0.2275036186201852,0.5381766995789968,False,Rants
EMOTIONAL DEPRIVATION (ED),15,100,0.2777777777777778,0.36231884057971014,-0.08454106280193235,-1.1923614979872696,0.2331195303185637,0.5381766995789968,False,Rants
SOCIAL ISOLATION/ALIENATION (SI),10,72,0.18518518518518517,0.2608695652173913,-0.07568438003220612,-1.1770146868798292,0.2391896442573319,0.5381766995789968,False,Rants
ENMESHMENT/UNDEVELOPED SELF (EM),4,11,0.07407407407407407,0.03985507246376811,0.03421900161030596,1.104014604900567,0.2695868023102289,0.5391736046204578,False,Rants
MISTRUST/ABUSE (MA),10,66,0.18518518518518517,0.2391304347826087,-0.05394524959742353,-0.8610689784807285,0.3892000534422444,0.6622726837766043,False,Rants
NEGATIVITY/PESSIMISM (NP),20,87,0.37037037037037035,0.31521739130434784,0.05515297906602251,0.7918319953008227,0.4284586436676854,0.6622726837766043,False,Rants
ENTITLEMENT/GRANDIOSITY (ET),0,3,0.0,0.010869565217391304,-0.010869565217391304,-0.7696372158081499,0.44151512251773617,0.6622726837766043,False,Rants
FAILURE TO ACHIEVE (FA),10,62,0.18518518518518517,0.2246376811594203,-0.03945249597423511,-0.6419582343225981,0.5209003014670157,0.6927071733857657,False,Rants
SELF-SACRIFICE (SS),5,19,0.09259259259259259,0.06884057971014493,0.02375201288244766,0.6146706507072672,0.5387722459667067,0.6927071733857657,False,Rants
DEFECTIVENESS/SHAME (DS),20,113,0.37037037037037035,0.40942028985507245,-0.0390499194847021,-0.5350194863534458,0.5926363826995078,0.7111636592394094,False,Rants
DEPENDENCE/INCOMPETENCE (DI),2,13,0.037037037037037035,0.04710144927536232,-0.010064412238325285,-0.3247101779119316,0.7454004308728736,0.8385754847319828,False,Rants
ABANDONMENT/INSTABILITY (AB),6,30,0.1111111111111111,0.10869565217391304,0.0024154589371980645,0.05206946724620819,0.958473341558684,0.9624694121328604,False,Rants
EMOTIONAL INHIBITION (EI),5,25,0.09259259259259259,0.09057971014492754,0.0020128824476650514,0.04705497521443988,0.9624694121328604,0.9624694121328604,False,Rants
NEGATIVITY/PESSIMISM (NP),7,10,0.13725490196078433,0.3448275862068966,-0.20757268424611225,-2.181747799234061,0.02912815107157824,0.3952313587301181,False,I want to help
UNRELENTING STANDARDS/HYPERCRITICALNESS (US),3,6,0.058823529411764705,0.20689655172413793,-0.14807302231237324,-2.014905082055073,0.043914595414457566,0.3952313587301181,False,I want to help
MISTRUST/ABUSE (MA),11,2,0.21568627450980393,0.06896551724137931,0.14672075726842462,1.7100608438762428,0.08725462248921222,0.5235277349352734,False,I want to help
SUBJUGATION (SB),4,0,0.0784313725490196,0.0,0.0784313725490196,1.547327000421446,0.1217844141477693,0.5480298636649619,False,I want to help
ABANDONMENT/INSTABILITY (AB),2,3,0.0392156862745098,0.10344827586206896,-0.06423258958755916,-1.1409559510813139,0.253888254004088,0.7772823223567386,False,I want to help
PUNITIVENESS (PU),2,0,0.0392156862745098,0.0,0.0392156862745098,1.0800070759316085,0.2801390292277188,0.7772823223567386,False,I want to help
INSUFFICIENT SELF-CONTROL/SELF-DISCIPLINE (IS),14,5,0.27450980392156865,0.1724137931034483,0.10209601081812036,1.031563900925973,0.3022764586942872,0.7772823223567386,False,I want to help
VULNERABILITY TO HARM OR ILLNESS (VH),6,5,0.11764705882352941,0.1724137931034483,-0.05476673427991888,-0.6837936090525603,0.4941055027950808,0.9896105309608126,False,I want to help
SOCIAL ISOLATION/ALIENATION (SI),13,6,0.2549019607843137,0.20689655172413793,0.04800540906017578,0.48503997990558967,0.6276479859755779,0.9896105309608126,False,I want to help
DEFECTIVENESS/SHAME (DS),10,7,0.19607843137254902,0.2413793103448276,-0.04530087897227858,-0.4761469138393554,0.6339697163367441,0.9896105309608126,False,I want to help
ENTITLEMENT/GRANDIOSITY (ET),1,1,0.0196078431372549,0.034482758620689655,-0.014874915483434753,-0.40965785638785146,0.6820569491501611,0.9896105309608126,False,I want to help
SELF-SACRIFICE (SS),6,4,0.11764705882352941,0.13793103448275862,-0.02028397565922921,-0.2637139727111015,0.79200032790552,0.9896105309608126,False,I want to help
ENMESHMENT/UNDEVELOPED SELF (EM),3,2,0.058823529411764705,0.06896551724137931,-0.010141987829614604,-0.18015093964441797,0.857034072683396,0.9896105309608126,False,I want to help
FAILURE TO ACHIEVE (FA),4,2,0.0784313725490196,0.06896551724137931,0.009465855307640297,0.15452453917893433,0.8771961641176169,0.9896105309608126,False,I want to help
APPROVAL-SEEKING/RECOGNITION-SEEKING (AS),5,3,0.09803921568627451,0.10344827586206896,-0.005409060175794456,-0.07752462100516093,0.9382062054810488,0.9896105309608126,False,I want to help
DEPENDENCE/INCOMPETENCE (DI),5,3,0.09803921568627451,0.10344827586206896,-0.005409060175794456,-0.07752462100516093,0.9382062054810488,0.9896105309608126,False,I want to help
EMOTIONAL INHIBITION (EI),5,3,0.09803921568627451,0.10344827586206896,-0.005409060175794456,-0.07752462100516093,0.9382062054810488,0.9896105309608126,False,I want to help
EMOTIONAL DEPRIVATION (ED),14,8,0.27450980392156865,0.27586206896551724,-0.0013522650439485862,-0.013021636414643888,0.9896105309608126,0.9896105309608126,False,I want to help
DEPENDENCE/INCOMPETENCE (DI),8,3,0.2222222222222222,0.06976744186046512,0.15245478036175708,1.9493475272952032,0.05125393636972002,0.47283310196986406,False,Parents
MISTRUST/ABUSE (MA),8,18,0.2222222222222222,0.4186046511627907,-0.1963824289405685,-1.8500226361610272,0.06431028711533956,0.47283310196986406,False,Parents
INSUFFICIENT SELF-CONTROL/SELF-DISCIPLINE (IS),4,1,0.1111111111111111,0.023255813953488372,0.08785529715762273,1.5972250536659212,0.11021554996108777,0.47283310196986406,False,Parents
EMOTIONAL DEPRIVATION (ED),15,25,0.4166666666666667,0.5813953488372093,-0.16472868217054265,-1.4584983721248228,0.14470322351267115,0.47283310196986406,False,Parents
PUNITIVENESS (PU),0,2,0.0,0.046511627906976744,-0.046511627906976744,-1.3106906564783944,0.18996229666088693,0.47283310196986406,False,Parents
VULNERABILITY TO HARM OR ILLNESS (VH),0,2,0.0,0.046511627906976744,-0.046511627906976744,-1.3106906564783944,0.18996229666088693,0.47283310196986406,False,Parents
FAILURE TO ACHIEVE (FA),7,4,0.19444444444444445,0.09302325581395349,0.10142118863049096,1.2968117024802837,0.19469598316406167,0.47283310196986406,False,Parents
NEGATIVITY/PESSIMISM (NP),5,3,0.1388888888888889,0.06976744186046512,0.06912144702842378,1.014232860491872,0.31047165213677186,0.5617976974399809,False,Parents
SOCIAL ISOLATION/ALIENATION (SI),6,4,0.16666666666666666,0.09302325581395349,0.07364341085271317,0.980411447301247,0.32688306140443923,0.5617976974399809,False,Parents
SELF-SACRIFICE (SS),4,8,0.1111111111111111,0.18604651162790697,-0.07493540051679587,-0.9241831207700751,0.35539098223611754,0.5617976974399809,False,Parents
APPROVAL-SEEKING/RECOGNITION-SEEKING (AS),1,3,0.027777777777777776,0.06976744186046512,-0.04198966408268734,-0.847775373285085,0.39656308054586886,0.5617976974399809,False,Parents
UNRELENTING STANDARDS/HYPERCRITICALNESS (US),1,3,0.027777777777777776,0.06976744186046512,-0.04198966408268734,-0.847775373285085,0.39656308054586886,0.5617976974399809,False,Parents
EMOTIONAL INHIBITION (EI),6,5,0.16666666666666666,0.11627906976744186,0.0503875968992248,0.6442758776653638,0.5193965550416937,0.6792108796699071,False,Parents
DEFECTIVENESS/SHAME (DS),13,13,0.3611111111111111,0.3023255813953488,0.058785529715762286,0.553789670692939,0.5797227982272724,0.7039491121331165,False,Parents
SUBJUGATION (SB),13,14,0.3611111111111111,0.32558139534883723,0.03552971576227387,0.33159441186395405,0.7401955397520845,0.811125052946708,False,Parents
ABANDONMENT/INSTABILITY (AB),5,5,0.1388888888888889,0.11627906976744186,0.022609819121447036,0.30100351452231283,0.7634118145380782,0.811125052946708,False,Parents
ENMESHMENT/UNDEVELOPED SELF (EM),5,6,0.1388888888888889,0.13953488372093023,-0.0006459948320413356,-0.008259947149555844,0.9934095906367503,0.9934095906367503,False,Parents
SOCIAL ISOLATION/ALIENATION (SI),14,23,0.4117647058823529,0.152317880794702,0.25944682508765093,3.4168855890919567,0.0006334189331615477,0.011401540796907859,True,Student Life
UNRELENTING STANDARDS/HYPERCRITICALNESS (US),6,50,0.17647058823529413,0.33112582781456956,-0.15465523957927543,-1.7733300186872027,0.07617403765014706,0.6855663388513236,False,Student Life
EMOTIONAL DEPRIVATION (ED),8,22,0.23529411764705882,0.1456953642384106,0.08959875340864823,1.280528613551397,0.2003592881300228,0.8462028585027233,False,Student Life
ENTITLEMENT/GRANDIOSITY (ET),1,1,0.029411764705882353,0.006622516556291391,0.022789248149590963,1.1609225606376727,0.24567339317008918,0.8462028585027233,False,Student Life
ENMESHMENT/UNDEVELOPED SELF (EM),0,5,0.0,0.033112582781456956,-0.033112582781456956,-1.075686203973394,0.28206761950090775,0.8462028585027233,False,Student Life
PUNITIVENESS (PU),0,5,0.0,0.033112582781456956,-0.033112582781456956,-1.075686203973394,0.28206761950090775,0.8462028585027233,False,Student Life
MISTRUST/ABUSE (MA),2,16,0.058823529411764705,0.10596026490066225,-0.047136735488897546,-0.8378741848551534,0.4021013686884747,0.9604618735667461,False,Student Life
VULNERABILITY TO HARM OR ILLNESS (VH),2,5,0.058823529411764705,0.033112582781456956,0.02571094663030775,0.7098602244753732,0.4777908181587638,0.9604618735667461,False,Student Life
APPROVAL-SEEKING/RECOGNITION-SEEKING (AS),3,20,0.08823529411764706,0.13245033112582782,-0.04421503700818076,-0.7059311790950343,0.48023093678337303,0.9604618735667461,False,Student Life
NEGATIVITY/PESSIMISM (NP),8,31,0.23529411764705882,0.2052980132450331,0.029996104402025714,0.38740919246313354,0.6984532995201002,0.9861526963720046,False,Student Life
SELF-SACRIFICE (SS),1,6,0.029411764705882353,0.039735099337748346,-0.010323334631865994,-0.28501963558480903,0.7756290985631524,0.9861526963720046,False,Student Life
INSUFFICIENT SELF-CONTROL/SELF-DISCIPLINE (IS),8,34,0.23529411764705882,0.2251655629139073,0.010128554733151524,0.1273704290483351,0.8986472197894536,0.9861526963720046,False,Student Life
DEFECTIVENESS/SHAME (DS),10,43,0.29411764705882354,0.2847682119205298,0.009349435138293727,0.1089367135137599,0.9132526867410276,0.9861526963720046,False,Student Life
DEPENDENCE/INCOMPETENCE (DI),4,17,0.11764705882352941,0.11258278145695365,0.005064277366575762,0.08410071898024077,0.9329763530074169,0.9861526963720046,False,Student Life
FAILURE TO ACHIEVE (FA),17,75,0.5,0.4966887417218543,0.0033112582781457123,0.03488762981308406,0.9721693445887549,0.9861526963720046,False,Student Life
ABANDONMENT/INSTABILITY (AB),2,9,0.058823529411764705,0.059602649006622516,-0.0007791195948578106,-0.017355892705246213,0.9861526963720046,0.9861526963720046,False,Student Life
EMOTIONAL INHIBITION (EI),2,9,0.058823529411764705,0.059602649006622516,-0.0007791195948578106,-0.017355892705246213,0.9861526963720046,0.9861526963720046,False,Student Life
SUBJUGATION (SB),2,9,0.058823529411764705,0.059602649006622516,-0.0007791195948578106,-0.017355892705246213,0.9861526963720046,0.9861526963720046,False,Student Life
DEPENDENCE/INCOMPETENCE (DI),3,0,0.11538461538461539,0.0,0.11538461538461539,2.277512444985304,0.02275564232000822,0.26037997960414594,False,Trigger Warning
MISTRUST/ABUSE (MA),2,12,0.07692307692307693,0.27906976744186046,-0.20214669051878353,-2.023329996629226,0.04303913621883215,0.26037997960414594,False,Trigger Warning
SUBJUGATION (SB),0,5,0.0,0.11627906976744186,-0.11627906976744186,-1.8053940496242378,0.07101304164145265,0.26037997960414594,False,Trigger Warning
EMOTIONAL DEPRIVATION (ED),5,17,0.19230769230769232,0.3953488372093023,-0.20304114490161,-1.7537562485413392,0.07947228279074793,0.26037997960414594,False,Trigger Warning
SOCIAL ISOLATION/ALIENATION (SI),11,10,0.4230769230769231,0.23255813953488372,0.19051878354203935,1.6666829051939145,0.09557747386488999,0.26037997960414594,False,Trigger Warning
NEGATIVITY/PESSIMISM (NP),13,13,0.5,0.3023255813953488,0.19767441860465118,1.642007042669852,0.1005885445623401,0.26037997960414594,False,Trigger Warning
ENMESHMENT/UNDEVELOPED SELF (EM),6,4,0.23076923076923078,0.09302325581395349,0.1377459749552773,1.5750645560484053,0.11524154428544127,0.26037997960414594,False,Trigger Warning
INSUFFICIENT SELF-CONTROL/SELF-DISCIPLINE (IS),4,2,0.15384615384615385,0.046511627906976744,0.10733452593917711,1.5333418519228403,0.1251916477646942,0.26037997960414594,False,Trigger Warning
VULNERABILITY TO HARM OR ILLNESS (VH),8,7,0.3076923076923077,0.16279069767441862,0.1449016100178891,1.4140870617634789,0.15733634150446396,0.26037997960414594,False,Trigger Warning
PUNITIVENESS (PU),0,3,0.0,0.06976744186046512,-0.06976744186046512,-1.3771005481306489,0.1684811632732709,0.26037997960414594,False,Trigger Warning
SELF-SACRIFICE (SS),0,3,0.0,0.06976744186046512,-0.06976744186046512,-1.3771005481306489,0.1684811632732709,0.26037997960414594,False,Trigger Warning
APPROVAL-SEEKING/RECOGNITION-SEEKING (AS),0,2,0.0,0.046511627906976744,-0.046511627906976744,-1.1159753144511853,0.26443270135780617,0.32333859199571474,False,Trigger Warning
UNRELENTING STANDARDS/HYPERCRITICALNESS (US),0,2,0.0,0.046511627906976744,-0.046511627906976744,-1.1159753144511853,0.26443270135780617,0.32333859199571474,False,Trigger Warning
FAILURE TO ACHIEVE (FA),1,5,0.038461538461538464,0.11627906976744186,-0.0778175313059034,-1.1116728426440592,0.2662788404670592,0.32333859199571474,False,Trigger Warning
EMOTIONAL INHIBITION (EI),5,5,0.19230769230769232,0.11627906976744186,0.07602862254025046,0.8693538134033407,0.38465363724187973,0.43594078887413035,False,Trigger Warning
ABANDONMENT/INSTABILITY (AB),2,6,0.07692307692307693,0.13953488372093023,-0.0626118067978533,-0.7872121212477667,0.4311577027267359,0.45810505914715693,False,Trigger Warning
DEFECTIVENESS/SHAME (DS),7,14,0.2692307692307692,0.32558139534883723,-0.056350626118068015,-0.4929625494235525,0.6220390494927506,0.6220390494927506,False,Trigger Warning
EMOTIONAL DEPRIVATION (ED),4,1,0.16,0.03225806451612903,0.12774193548387097,1.6665113147078647,0.09561161648392581,0.8778881081262982,False,9 to 5
EMOTIONAL INHIBITION (EI),4,2,0.16,0.06451612903225806,0.09548387096774194,1.1484557186214925,0.25078048323104396,0.8778881081262982,False,9 to 5
FAILURE TO ACHIEVE (FA),11,18,0.44,0.5806451612903226,-0.14064516129032262,-1.0471014938079193,0.2950527704402802,0.8778881081262982,False,9 to 5
ABANDONMENT/INSTABILITY (AB),0,1,0.0,0.03225806451612903,-0.03225806451612903,-0.9061536125301638,0.3648545517544952,0.8778881081262982,False,9 to 5
ENTITLEMENT/GRANDIOSITY (ET),0,1,0.0,0.03225806451612903,-0.03225806451612903,-0.9061536125301638,0.3648545517544952,0.8778881081262982,False,9 to 5
VULNERABILITY TO HARM OR ILLNESS (VH),3,2,0.12,0.06451612903225806,0.05548387096774193,0.7238382478024058,0.46916504491816546,0.8778881081262982,False,9 to 5
DEPENDENCE/INCOMPETENCE (DI),5,4,0.2,0.12903225806451613,0.07096774193548389,0.7188456815314943,0.4722360076151014,0.8778881081262982,False,9 to 5
INSUFFICIENT SELF-CONTROL/SELF-DISCIPLINE (IS),4,3,0.16,0.0967741935483871,0.06322580645161291,0.7112007112010668,0.47695986793609446,0.8778881081262982,False,9 to 5
SOCIAL ISOLATION/ALIENATION (SI),5,8,0.2,0.25806451612903225,-0.05806451612903224,-0.5116226608830866,0.6089151226932794,0.8778881081262982,False,9 to 5
SUBJUGATION (SB),1,2,0.04,0.06451612903225806,-0.024516129032258062,-0.40504026735391313,0.6854479122863246,0.8778881081262982,False,9 to 5
NEGATIVITY/PESSIMISM (NP),10,14,0.4,0.45161290322580644,-0.05161290322580642,-0.3879917968315851,0.6980221042108122,0.8778881081262982,False,9 to 5
UNRELENTING STANDARDS/HYPERCRITICALNESS (US),5,5,0.2,0.16129032258064516,0.038709677419354854,0.3759979708100777,0.7069184045821828,0.8778881081262982,False,9 to 5
MISTRUST/ABUSE (MA),4,6,0.16,0.1935483870967742,-0.033548387096774185,-0.3258649080354004,0.7445265670615868,0.8778881081262982,False,9 to 5
DEFECTIVENESS/SHAME (DS),5,7,0.2,0.22580645161290322,-0.02580645161290321,-0.2339678566956674,0.8150099327740473,0.8778881081262982,False,9 to 5
APPROVAL-SEEKING/RECOGNITION-SEEKING (AS),2,2,0.08,0.06451612903225806,0.015483870967741939,0.22366227642537675,0.8230201013684046,0.8778881081262982,False,9 to 5
SELF-SACRIFICE (SS),3,4,0.12,0.12903225806451613,-0.00903225806451613,-0.1016001016001524,0.9190740988024853,0.9190740988024853,False,9 to 5
